logged_at,account,role,symbol,strategy,direction,entry_time,entry_price,sl,tp,lot_size,risk_pct_used,status,mt5_ticket,outcome,pnl_usd
2026-09-02 18:51:18.428697,Rune Main,leader,XAGUSD,Powell_KeyOpen,short,2026-09-02 15:30:00+00:00,64.314,64.640022,63.661956,0.01,0.065,"ORDRE PLACERET (pending SELL_STOP, demo)",58281230576.0,,
2026-09-02 18:51:18.428827,Rune Copy#1,follower,XAGUSD,Powell_KeyOpen,short,2026-09-02 15:30:00+00:00,64.314,64.640022,63.661956,0.01,0.065,FEJLET - AutoTrading disabled by client (retcode 10027),,,
2026-09-03 17:18:49.959429,Rune Main,leader,XAUUSD,ORB,long,2026-09-03 18:00:00+00:00,4503.76,4439.09,4633.1,0.01,0.259,"ORDRE PLACERET (pending BUY_LIMIT, demo)",58297762118.0,,
2026-09-03 17:18:49.959429,Rune Copy#1,follower,XAUUSD,ORB,long,2026-09-03 18:00:00+00:00,4503.76,4439.09,4633.1,0.01,0.257,"ORDRE PLACERET (pending BUY_LIMIT, demo)",58297763767.0,,
2026-08-31 19:51:59.812832,Rune Main,leader,XAUUSD,Powell_KeyOpen,short,2026-08-31 15:30:00+00:00,4440.57,4458.8499,4404.010199999999,0.01,0.073,EKSEKVERET (demo),11514671.0,,
2026-09-02 11:46:35.074922,Rune Main,leader,XAGUSD,Powell_KeyOpen,short,2026-09-02 09:15:00+00:00,63.954,64.33240799999999,63.19718400000003,0.01,0.076,LUKKET,58272161854.0,loss,-6.45
2026-09-03 08:47:42.155749,Rune Main,leader,XAUUSD,Powell_KeyOpen,long,2026-09-03 05:45:00+00:00,4420.23,4400.46144,4459.767119999999,0.01,0.079,LUKKET,58289015416.0,win,99.07
2026-09-03 09:17:14.201722,Rune Main,leader,XAUUSD,Powell_KeyOpen,long,2026-09-03 06:00:00+00:00,4428.67,4410.401519999999,4465.206960000001,0.01,0.073,LUKKET,58289437438.0,win,99.07
2026-09-03 09:31:55.724981,Rune Main,leader,XAUUSD,Powell_KeyOpen,long,2026-09-03 06:45:00+00:00,4431.34,4415.631039999999,4462.757920000002,0.01,0.063,LUKKET,58289648049.0,win,99.07
2026-09-03 09:31:58.250340,Rune Main,leader,XAGUSD,Powell_KeyOpen,long,2026-09-03 10:00:00+00:00,65.863,65.484768,66.619464,0.01,0.076,LUKKET,58289648185.0,win,37.8
2026-09-03 20:48:07.601199,Rune Main,leader,XAGUSD,Powell_KeyOpen,long,2026-09-03 15:30:00+00:00,66.057,65.740256,66.690488,0.01,0.063,"ORDRE PLACERET (pending BUY_LIMIT, demo, leder+foelger) - foelger ticket 58301020826",58301019252.0,,
2026-09-03 20:48:07.601199,Rune Copy#1,follower,XAGUSD,Powell_KeyOpen,long,2026-09-03 15:30:00+00:00,66.057,65.740256,66.690488,0.01,0.063,"ORDRE PLACERET (pending BUY_LIMIT, demo)",58301020826.0,,
2026-09-04 08:48:32.848210,Rune Main,leader,XAUUSD,Powell_KeyOpen,long,2026-09-04 05:45:00+00:00,4477.33,4461.00012,4509.98976,0.01,0.065,"ORDRE PLACERET (pending BUY_LIMIT, demo)",58307752600.0,,
2026-09-04 08:48:32.848210,Rune Copy#1,follower,XAUUSD,Powell_KeyOpen,long,2026-09-04 05:45:00+00:00,4477.33,4461.00012,4509.98976,0.01,0.065,"ORDRE PLACERET (pending BUY_STOP, demo)",58307756625.0,,
2026-09-04 08:48:32.848210,Rune Main,leader,XAGUSD,Powell_KeyOpen,long,2026-09-04 08:30:00+00:00,66.713,66.370992,67.397016,0.01,0.068,"ORDRE PLACERET (pending BUY_LIMIT, demo)",58307752684.0,,
2026-09-04 08:48:32.848210,Rune Copy#1,follower,XAGUSD,Powell_KeyOpen,long,2026-09-04 08:30:00+00:00,66.713,66.370992,67.397016,0.01,0.068,"ORDRE PLACERET (pending BUY_LIMIT, demo)",58307756714.0,,
